ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.153.143.177","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","261","Tencent Cloud Computing","20357","socks4","2388","1","2026-04-11T21:12:26.543Z","100","1559","1562"
"94.153.159.98","elite","AS15895","UA","Kyivstar UA","59","Kyivstar LLC","4153","socks4","2686","1","2026-04-11T21:12:26.646Z","99","5158","5201"
"131.100.19.5","elite","AS61753","BR","Cleyton De Sales Costa - ME","194","Maria Neusa Pereira De Sousa E CIA Ltda EPP","4321","http","139","20300","2026-04-11T21:12:26.538Z","98","41","42"
"23.231.34.48","elite","AS3257","US","Eonix Corporation","88","NeoFiber Communications inc.","80","socks4","3798","1","2026-04-11T21:12:26.643Z","87","10318","11909"
"113.71.148.10","elite","AS4134","CN","Chinanet","254","Chinanet GD","1080","socks4","3081","1","2026-04-11T21:12:26.548Z","34","1773","5234"
"176.236.163.36","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","59","Superonline Iletisim Hizmetleri","59311","socks4","3813","1","2026-04-11T21:12:26.643Z","100","4993","5012"
"37.34.72.132","elite","AS198399","IT","FASTCON srl","67","Fastcon","4145","socks4","3279","1","2026-04-11T21:12:26.645Z","72","8637","11940"
"41.223.108.13","elite","AS328250","SO","Golis Telecom Somalia","138","ISP","1080","socks4","4696","1","2026-04-11T21:12:26.644Z","96","11501","11986"
"182.84.144.69","elite","AS4134","CN","Chinanet","273","Chinanet JX","3256","socks4","298","1","2026-04-11T21:12:26.536Z","25","490","1981"
"37.131.164.103","elite","AS35745","PL","KSU Provector Network","33","N/A","59341","socks4","3400","1","2026-04-11T21:12:26.538Z","100","5151","5161"
"95.83.16.93","elite","AS12389","RU","PJSC Rostelecom","58","Branch in Mordovian Republic OJSC \"VolgaTelecom\"","7788","socks4","3595","1","2026-04-11T21:12:26.546Z","89","263","294"
"45.76.188.138","elite","AS20473","SG","The Constant Company","153","Vultr Holdings, LLC","12905","socks4","3105","1","2026-04-11T21:12:26.542Z","77","3097","4032"
"45.7.177.177","elite","AS266626","BR","Litoral Telecom","234","Litoral Telecom","39867","socks4","4991","1","2026-04-11T21:12:26.541Z","37","4455","11896"
"103.247.120.122","elite","AS55666","ID","GMEDIA","178","N/A","10800","socks4","1303","1","2026-04-11T21:12:26.550Z","63","2936","4674"
"202.179.184.46","elite","AS38750","ID","Telemedia Dinamika Sarana, PT","165","TDS JMB","5430","socks4","4719","1","2026-04-11T21:12:26.642Z","98","5095","5186"
"185.181.61.186","elite","AS56655","NO","TERRAHOST","28","N/A","46304","socks5","3771","1","2026-04-11T21:12:26.543Z","15","1839","11889"
"206.81.31.215","elite","AS14061","DE","DigitalOcean, LLC","5","Digital Ocean","80","http","262","20364","2026-04-11T21:12:26.538Z","100","50","50"
"182.93.80.3","elite","AS4007","NP","SUBISU D2","427","N/A","8291","socks4","489","1","2026-04-11T21:12:26.540Z","71","3662","5173"
"185.216.18.138","elite","AS205500","RU","Mega Tec LLC","156","Mega Tec LLC","44550","socks4","4810","1","2026-04-11T21:12:03.035Z","88","4594","5247"
"149.6.163.218","elite","AS174","FR","Cogent Communications","8","Webshare Software, Company","10212","socks4","2497","1","2026-04-11T21:12:03.028Z","99","4459","4486"
"103.89.62.81","elite","AS152538","IN","Bhomika Network PVT LTD","157","Bhomika Network Pvt Ltd","4153","socks4","3764","1","2026-04-11T21:12:03.022Z","47","5682","12003"
"186.224.225.82","elite","AS53171","BR","Vero S.A","228","Vero S.A","42648","socks4","4484","1","2026-04-11T21:12:03.037Z","100","5106","5124"
"177.136.213.79","elite","AS52685","BR","Conectnet Telecomunicações Ltda.","195","Conectnet Telecomunicações Ltda","4145","socks4","4398","1","2026-04-11T21:12:03.013Z","33","3890","11910"
"185.25.188.3","elite","AS16353","GB","Merula Limited","21","Merula Limited","8080","socks4","4674","1","2026-04-11T21:12:03.032Z","100","1584","1585"
"8.219.175.173","elite","AS45102","SG","Alibaba (US) Technology Co., Ltd.","157","Alibaba.com Singapore E-Commerce Private Limited","15673","socks5","4373","1","2026-04-11T21:12:03.039Z","94","4895","5235"
"68.71.254.6","elite","AS46562","US","Total Server Solutions L.L.C.","159","Zerolag Communications, Inc","4145","socks4","4675","1","2026-04-11T21:12:03.033Z","91","378","415"
"51.77.116.174","elite","AS16276","GB","OVH SAS","21","OVH Ltd","28046","socks4","4192","1","2026-04-11T21:12:03.121Z","100","11852","11872"
"121.100.4.170","elite","AS38158","ID","PT. Cyberindo Aditama","181","N/A","5430","socks4","4895","1","2026-04-11T21:12:03.034Z","100","1432","1438"
"213.81.178.183","elite","AS6855","SK","Slovak Telecom AS6855","27","Slovak Telekom, a.s.","4145","socks4","4671","1","2026-04-11T21:12:03.120Z","100","3205","3205"
"194.36.98.231","elite","AS136787","US","PacketHub S.A.","118","PacketHub","80","socks4","4374","1","2026-04-11T21:12:03.021Z","96","11423","11871"
"195.14.22.173","elite","AS41653","FR","Aqua Ray SAS","13","Aqua Ray","80","socks5","480","1","2026-04-11T21:12:03.121Z","100","11855","11860"
"94.28.14.70","elite","AS24588","RU","Enforta-KUR","70","N/A","4145","socks4","4278","1","2026-04-11T21:12:03.024Z","97","11564","11927"
"1.1.220.100","transparent","AS23969","TH","TOT Public Company Limited","213","TOT Public Company Limited","8080","http","1285","29380","2026-04-11T21:12:03.017Z","100","50","50"
"103.86.155.78","elite","AS4787","ID","PT Cyberindo Aditama","172","CBN","1080","socks4","4820","1","2026-04-11T21:12:03.022Z","100","199","200"
"103.133.107.57","elite","AS135905","VN","Vietnam Posts and Telecommunications Group","208","NOCIX Trading and Service Limited Company","20211","socks4","4311","1","2026-04-11T21:12:03.030Z","99","1223","1241"
"149.202.75.85","elite","AS16276","FR","OVH SAS","66","OVH","21858","socks4","4904","1","2026-04-11T21:12:03.120Z","100","1334","1334"
"83.143.30.97","elite","AS37678","BW","BOTSWANA FIBRE NETWORKS (Proprietary) Limited","174","N/A","7080","socks5","1978","1","2026-04-11T21:12:03.025Z","96","2365","2451"
"60.2.44.182","elite","AS4837","CN","CNC Group CHINA169 Hebei Province Network","204","N/A","34659","socks4","4405","1","2026-04-11T21:12:03.034Z","99","5163","5234"
"116.203.58.26","elite","AS24940","DE","Hetzner Online GmbH","14","Hetzner","9050","socks4","4992","1","2026-04-11T21:12:03.038Z","100","4637","4646"
"45.64.99.145","elite","AS58477","ID","ARGON","194","N/A","4145","socks4","4400","1","2026-04-11T21:12:03.119Z","57","6795","12004"
"67.205.159.46","elite","AS14061","US","DigitalOcean, LLC","83","Digital Ocean","8459","socks4","4007","1","2026-04-11T21:12:02.949Z","72","8587","11990"
"162.191.102.2","elite","AS21928","US","T-Mobile USA, Inc.","183","T-Mobile USA, Inc.","80","socks4","3580","1","2026-04-11T21:12:02.948Z","92","1824","1974"
"180.241.163.79","elite","AS7713","ID","PT. TELKOM INDONESIA","178","N/A","3128","socks4","4696","1","2026-04-11T21:11:42.736Z","39","4593","11880"
"104.207.49.206","elite","AS200373","BR","3xK Tech GmbH","93","3xK Tech GmbH","3128","socks4","1000","1","2026-04-11T21:11:42.739Z","80","3409","4277"
"75.119.206.18","elite","AS26347","US","New Dream Network","167","DreamHost","23456","socks4","5003","1","2026-04-11T21:11:42.812Z","78","9292","11879"
"168.181.121.195","elite","AS264847","HN","Enred S.de.R.L","142","Enred S.de.R.L","57010","socks4","2376","1","2026-04-11T21:11:42.814Z","98","3838","3915"
"103.66.232.169","elite","AS134014","IN","NET 4 U SERVICES","153","N/A","4145","socks4","1710","1","2026-04-11T21:11:42.744Z","99","11769","11863"
"89.38.96.16","elite","AS49981","NL","WorldStream B.V.","18","Worldstream","14269","socks4","4505","1","2026-04-11T21:11:42.840Z","98","1784","1818"
"136.226.234.95","elite","AS53813","SG","ZSCALER, INC.","153","Zscaler, Inc.","11197","socks4","4295","1","2026-04-11T21:11:42.741Z","97","4267","4387"
"138.117.189.70","elite","AS264238","BR","Link Net-Igarapava","221","Link Net Provedor de Internet LTDA","56767","socks4","4070","1","2026-04-11T21:11:42.812Z","100","1431","1434"
"165.225.204.117","elite","AS5511","FR","Orange S.A - Opentransit network","11","ZSCALER","10605","socks4","3698","1","2026-04-11T21:11:42.813Z","98","11724","11903"
"104.164.144.155","elite","AS214238","NL","EGIHosting","15","Iwihost NET","64836","socks4","3995","1","2026-04-11T21:11:42.841Z","100","4705","4723"
"115.76.195.225","elite","AS7552","VN","VIETELGPRS","186","GPRS Services","31342","socks4","2798","1","2026-04-11T21:11:42.737Z","66","3405","5185"
"103.81.117.122","elite","AS135851","IN","Excogitate Technologies Pvt. Ltd","194","Excogitate Technologies Pvt Ltd","4153","socks4","1803","1","2026-04-11T21:11:42.734Z","98","11727","11955"
